62361	8987	en	David Bollier	Think Like a Commoner	Text	-	URN:ISBN:978-1-5509-2559-3	All rights reserved	-	New Society Publishers	URN:ISBN:978-1-5509-2559-3	210 Pages	calibre (2.1.0) [http://calibre-ebook.com]	2014-01-17T05:00:00+00:00
83644	11330	en	Mark Hertsgaard	The Eagle's Shadow	-	-	-	-	-	Farrar, Straus and Giroux	9780374706326	-	-	2011-09-30
82663	10220	en	Pagliery, Jose	Bitcoin	-	-	-	All rights reserved	-	Triumph Books	9781623689193	-	-	2014
119826	9679	en	Aristotle	The Art of Rhetoric	Text	-	-	All rights reserved	-	Penguin Group USA, Inc.	9781101488300	-	-	-
358908	26522	en	Matthew Stein	When Technology Fails	-	ebook	-	2000	-	Chelsea Green Publishing	9781603580953	-	-	2011-02-18
98141	11119	en	James Barrat	Our Final Invention: Artificial Intelligence and the End of the Human Era Hardcover	-	-	-	-	-	Thomas Dunne Books	B00CQYAWRY	-	calibre (0.9.42) [http://calibre-ebook.com]	2013-10-01T14:00:00+00:00
76726	8356	en	Luyendijk, Joris	People Like Us	-	-	-	Copyright © 2006 by Joris Luyendijk. All rights reserved under International and Pan-American Copyright Conventions.	-	Soft Skull Press	9781593763541	-	-	2010-06-01
106066	10149	en	David Wojnarowicz	In the Shadow of the American Dream	-	-	URN:ISBN:978-1-4804-8960-8	All rights are reserved.	-	Open Road Media	URN:ISBN:978-1-4804-8960-8	278 pages	-	-
97381	8116	en	Jeff Hawkins	On Intelligence	Text	-	-	All Right Reserve	-	Henry Holt and Co.	9780805074567	274 pages	-	2004
41387	4242	en	Lisa Spann	Owner's Guide to the Small Business Website	Text	-	URN:ISBN:978-1-84528-559-3	All rights reserved	-	Constable & Robinson	URN:ISBN:978-1-84528-559-3	176 pages	-	-
39878	5223	en	E.M. Cioran	On the Heights of Despair	-	Philosophy	-	-	-	-	9749846e-6bc3-49bf-ad06-ecfc8ef60acd	-	calibre (0.9.28) [http://calibre-ebook.com]	1995-04-15T22:00:00+00:00
100411	10301	en	Jeremy Spencer	Death Punch'd	Text	-	-	All rights reserved	-	HarperCollins	9780062308122	311 pages	-	-
244227	19652	en	Paula Fredriksen	Augustine and the Jews	Text	-	-	All rights reserved	-	Yale University Press	9780300172508	528 pages	-	2010
