2040	747	fr-FR	Guy de Maupassant	Confessions d'une femme	-	Nouvelles, contes	-	Copyright © 2015-02-27 Ilivri	-	ILIVRI	id02148	epub	Guy de Maupassant	2015-02-27
45471	6820	fr-FR	Guy de Maupassant	Contes de la bécasse	-	Nouvelles, contes	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335008302	epub	Guy de Maupassant	2014-07-21
109090	12937	fr-FR	Honoré de Balzac	Scènes de la vie privée et publique des animaux - Tome II	-	Documents et essais	-	Copyright © 2014-09-29 Ilivri	-	ILIVRI	9782335046588	epub	Honoré de Balzac	2014-09-29
51971	6939	fr-FR	Georges Courteline	Les Femmes d’amis	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335002256	epub	Georges Courteline	2014-07-21
112532	10384	fr-FR	Jules Vallès	L’Enfant	-	Romans	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335007527	epub	Jules Vallès	2014-07-21
62477	7079	fr-FR	Alfred Assollant	Aventures merveilleuses mais authentiques du Capitaine Corcoran - Première partie	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012675	epub	Alfred Assollant	2014-07-21
114147	12310	fr-FR	Stendhal	Promenades dans Rome - Tome premier	-	Nouvelles, contes	-	Copyright © 2014-09-04 Ilivri	-	ILIVRI	9782335046403	epub	Henri Beyle	2014-09-04
12422	2286	fr-FR	P.-J. Stahl	Les Aventures de Tom Pouce	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012668	epub	Pierre-Jules Hetzel	2014-07-21
19383	3015	fr-FR	Jean Racine	Britannicus	-	Théâtre	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012637	epub	Jean Racine	2014-07-21
136998	10733	fr-FR	Émile Zola	Une page d'amour	-	Romans	-	Copyright © 2014-11-28 Ilivri	-	ILIVRI	9782335046144	epub	Émile Zola	2014-11-28
63815	7747	fr-FR	Alfred Assollant	Aventures merveilleuses mais authentiques du Capitaine Corcoran - Deuxième partie	-	Jeunesse	-	Copyright © 2014-07-21 Ilivri	-	ILIVRI	9782335012682	epub	Alfred Assollant	2014-07-21
64310	7986	fr-FR	Jules Renard	Les Cloportes	-	Romans	-	Copyright © 2015-06-30 Ilivri	-	ILIVRI	id01834	epub	Jules Renard	2015-06-30
